id,display_name,department,filename,render_engine,render_voice,script
team-lead,Team Lead,Command Center,team-lead.wav,macos-say,Gordon,"Team Lead online. Aligning specialists and clearing the path."
team-lead-lite,Lead Lite,Command Center,team-lead-lite.wav,macos-say,Nicky,"Lead Lite online. Quick fix route locked and moving."
team-lead-full,Lead Full,Command Center,team-lead-full.wav,macos-say,Daniel,"Lead Full online. High-risk review active, gates are holding."
agent-orchestrator,Orchestrator,Command Center,agent-orchestrator.wav,macos-say,"Reed (English (UK))","Orchestrator online. Splitting the task and assigning the right minds."
agent-history,Historian,Command Center,agent-history.wav,macos-say,Moira,"Historian online. Prior context indexed and ready for handoff."
agent-implementer,Implementer,Engineering,agent-implementer.wav,macos-say,"Reed (English (US))","Implementer online. Approved plan loaded, shipping code next."
frontend-react-and-next,React & Next,Engineering,frontend-react-and-next.wav,macos-say,Martha,"React and Next online. Server components stable, interface work underway."
backend-and-language-engineering,Backend,Engineering,backend-and-language-engineering.wav,macos-say,Rishi,"Backend online. Services are wired, contracts are holding."
fullstack-engineering,Full Stack,Engineering,fullstack-engineering.wav,macos-say,Arthur,"Full Stack online. Frontend to backend path is fully covered."
mobile-engineering,Mobile,Engineering,mobile-engineering.wav,macos-say,Karen,"Mobile online. Touch flow tuned and cross-platform checks are green."
systems-architecture,Architect,Engineering,systems-architecture.wav,macos-say,"Grandpa (English (UK))","Architect online. System boundaries are clean and future-safe."
interface-and-design,Interface,Product & Design,interface-and-design.wav,macos-say,Samantha,"Interface online. Clarity, hierarchy, and feel are in sync."
design-to-code,Design to Code,Product & Design,design-to-code.wav,macos-say,"Flo (English (US))","Design to Code online. Converting polished frames into production markup."
visual-artifacts,Visual,Product & Design,visual-artifacts.wav,macos-say,Superstar,"Visual online. Generating bold artifacts with clean composition."
agent-impeccable,Impeccable,Product & Design,agent-impeccable.wav,macos-say,Catherine,"Impeccable online. Final polish pass engaged, rough edges removed."
ai-systems-engineering,AI Systems,AI Labs,ai-systems-engineering.wav,macos-say,Zarvox,"AI Systems online. Model pipeline tuned, context flow is live."
mcp-development,MCP Builder,AI Labs,mcp-development.wav,macos-say,"Rocko (English (UK))","MCP Builder online. Tools, schemas, and protocol edges are aligned."
agent-orchestration,Agent Ops,AI Labs,agent-orchestration.wav,macos-say,"Sandy (English (UK))","Agent Ops online. Parallel workflows are balanced and unblocked."
prompt-optimizer,Prompt Optimizer,AI Labs,prompt-optimizer.wav,macos-say,"Flo (English (UK))","Prompt Optimizer online. Tightening intent, constraints, and output shape."
agent-reviewer,Reviewer,Ops & Quality,agent-reviewer.wav,macos-say,"Shelley (English (UK))","Reviewer online. Checking correctness, regressions, and hidden risk."
agent-tester,Tester,Ops & Quality,agent-tester.wav,macos-say,Kathy,"Tester online. Critical paths loaded and ready for validation."
testing-and-verification,QA,Ops & Quality,testing-and-verification.wav,macos-say,"Good News","QA online. Expected behavior matches the spec on record."
agent-debugging,Debugger,Ops & Quality,agent-debugging.wav,macos-say,"Eddy (English (US))","Debugger online. Reproducing the issue and tracing the break."
debugging-and-diagnostics,Diagnostics,Ops & Quality,debugging-and-diagnostics.wav,macos-say,Whisper,"Diagnostics online. Signals are isolated and evidence is clean."
review-and-pr-operations,PR Ops,Ops & Quality,review-and-pr-operations.wav,macos-say,"Eddy (English (UK))","PR Ops online. Reviews, updates, and merge flow are synchronized."
platform-engineering,Platform,Ops & Quality,platform-engineering.wav,macos-say,Albert,"Platform online. Deployments are stable and runtime health is green."
agent-security,Security,Security & Research,agent-security.wav,macos-say,"Rocko (English (US))","Security online. Trust boundaries mapped and risk under watch."
security-engineering,Security Engineering,Security & Research,security-engineering.wav,macos-say,"Grandpa (English (US))","Security Engineering online. Hardening controls and closing weak paths."
research-and-reasoning,Research,Security & Research,research-and-reasoning.wav,macos-say,Tessa,"Research online. Evidence gathered, assumptions challenged, conclusions sharpened."
agent-docs,Docs Writer,Security & Research,agent-docs.wav,macos-say,"Shelley (English (US))","Docs Writer online. Turning complex systems into clear guidance."
documentation-and-doc-ops,Doc Ops,Security & Research,documentation-and-doc-ops.wav,macos-say,"Grandma (English (UK))","Doc Ops online. Documentation stays synced with the build."
